omega_frac,t,z,vz
0.25,0.000000,0.048046,0.007178
0.25,0.008333,0.047941,-0.003424
0.25,0.016667,0.047845,-0.010308
0.25,0.025000,0.047840,-0.027799
0.25,0.033333,0.047834,-0.014300
0.25,0.041667,0.047840,-0.013951
0.25,0.050000,0.047909,0.004133
0.25,0.058333,0.047833,-0.011690
0.25,0.066667,0.047977,0.017071
0.25,0.075000,0.047871,-0.006918
0.25,0.083333,0.047861,-0.020155
0.25,0.091667,0.047821,-0.013364
0.25,0.100000,0.047805,-0.015078
0.25,0.108333,0.047871,-0.019143
0.25,0.116667,0.047868,-0.020341
0.25,0.125000,0.047843,-0.022492
0.25,0.133333,0.047882,-0.012484
0.25,0.141667,0.047855,-0.011980
0.25,0.150000,0.047890,0.000113
0.25,0.158333,0.047890,0.003826
0.25,0.166667,0.047872,-0.006269
0.25,0.175000,0.047837,-0.015773
0.25,0.183333,0.047853,-0.013604
0.25,0.191667,0.047825,-0.012528
0.25,0.200000,0.047869,-0.013351
0.25,0.208333,0.047825,-0.013660
0.25,0.216667,0.047861,0.008569
0.25,0.225000,0.047898,0.000831
0.25,0.233333,0.047906,-0.014660
0.25,0.241667,0.047922,-0.005063
0.25,0.250000,0.047828,-0.020659
0.25,0.258333,0.047869,-0.008872
0.25,0.266667,0.047947,-0.022880
0.25,0.275000,0.047850,-0.018705
0.25,0.283333,0.047838,-0.009988
0.25,0.291667,0.047838,-0.000728
0.25,0.300000,0.047831,-0.008717
0.25,0.308333,0.047872,-0.006105
0.25,0.316667,0.047911,-0.010368
0.25,0.325000,0.047878,-0.014095
0.25,0.333333,0.047833,-0.015759
0.25,0.341667,0.047791,-0.019461
0.25,0.350000,0.047834,-0.019392
0.25,0.358333,0.047820,-0.027938
0.25,0.366667,0.047795,-0.017398
0.25,0.375000,0.047863,0.009308
0.25,0.383333,0.047933,0.015967
0.25,0.391667,0.047894,0.001498
0.25,0.400000,0.047863,-0.023319
0.25,0.408333,0.047812,-0.021475
0.25,0.416667,0.047820,-0.020277
0.25,0.425000,0.047895,-0.011362
0.25,0.433333,0.047897,-0.006226
0.25,0.441667,0.047870,-0.013791
0.25,0.450000,0.047817,-0.012365
0.25,0.458333,0.047886,0.005111
0.25,0.466667,0.047970,-0.005678
0.25,0.475000,0.047911,-0.005678
0.25,0.483333,0.047919,0.007523
0.25,0.491667,0.047845,-0.020888
0.25,0.500000,0.047844,-0.016884
0.25,0.508333,0.047858,-0.013436
0.25,0.516667,0.047837,-0.016651
0.25,0.525000,0.047819,-0.017823
0.25,0.533333,0.047898,-0.015835
0.25,0.541667,0.047874,-0.014864
0.25,0.550000,0.047875,-0.010128
0.25,0.558333,0.047906,-0.007288
0.25,0.566667,0.047772,-0.031702
0.25,0.575000,0.047883,-0.005806
0.25,0.583333,0.047823,-0.017980
0.25,0.591667,0.047851,-0.020146
0.25,0.600000,0.047923,-0.018897
0.25,0.608333,0.047831,-0.012489
0.25,0.616667,0.047929,0.003988
0.25,0.625000,0.047892,-0.005381
0.25,0.633333,0.047865,-0.005145
0.25,0.641667,0.047853,-0.028582
0.25,0.650000,0.047723,-0.042025
0.25,0.658333,0.047918,-0.009704
0.25,0.666667,0.047876,-0.016864
0.25,0.675000,0.047812,-0.025983
0.25,0.683333,0.047882,-0.016142
0.25,0.691667,0.047901,0.007365
0.25,0.700000,0.047908,-0.015474
0.25,0.708333,0.047931,0.004699
0.25,0.716667,0.047962,0.003513
0.25,0.725000,0.047790,-0.029910
0.25,0.733333,0.047821,-0.019712
0.25,0.741667,0.047768,-0.005894
0.25,0.750000,0.047817,-0.016532
0.25,0.758333,0.047838,-0.021901
0.25,0.766667,0.047803,0.009552
0.25,0.775000,0.047964,0.003980
0.25,0.783333,0.047953,0.010480
0.25,0.791667,0.047866,-0.002202
0.25,0.800000,0.047869,-0.014550
0.25,0.808333,0.047810,-0.018059
0.25,0.816667,0.047913,0.008776
0.25,0.825000,0.047888,-0.008895
0.25,0.833333,0.047869,-0.009148
0.25,0.841667,0.047916,-0.005821
0.25,0.850000,0.047738,-0.021718
0.25,0.858333,0.047911,0.002772
0.25,0.866667,0.048382,0.072956
0.25,0.875000,0.048509,0.013532
0.25,0.883333,0.048124,-0.044940
0.25,0.891667,0.047819,-0.023190
0.25,0.900000,0.047838,-0.010115
0.25,0.908333,0.047912,-0.019879
0.25,0.916667,0.047786,-0.013293
0.25,0.925000,0.047893,-0.015634
0.25,0.933333,0.047944,-0.023444
0.25,0.941667,0.047969,-0.010981
0.25,0.950000,0.047914,-0.008722
0.25,0.958333,0.047838,-0.015190
0.25,0.966667,0.047790,-0.020082
0.25,0.975000,0.047779,-0.029557
0.25,0.983333,0.047873,-0.009572
0.25,0.991667,0.047774,-0.027331
0.25,1.000000,0.047851,-0.024303
0.25,1.008333,0.047932,0.010347
0.25,1.016667,0.047854,0.008472
0.25,1.025000,0.047899,0.008796
0.25,1.033333,0.047980,0.011285
0.25,1.041667,0.048416,0.083068
0.25,1.050000,0.048719,0.041239
0.25,1.058333,0.048521,-0.017636
0.25,1.066667,0.047995,-0.051824
0.25,1.075000,0.047882,0.003481
0.25,1.083333,0.047806,-0.004509
0.25,1.091667,0.048006,0.016309
0.25,1.100000,0.047835,-0.003734
0.25,1.108333,0.047884,-0.002010
0.25,1.116667,0.047923,-0.005693
0.25,1.125000,0.047753,-0.018840
0.25,1.133333,0.047891,0.000987
0.25,1.141667,0.047899,-0.011581
0.25,1.150000,0.047816,-0.016589
0.25,1.158333,0.048008,-0.052950
0.25,1.166667,0.047962,0.006485
0.25,1.175000,0.047871,-0.004719
0.25,1.183333,0.047909,-0.013649
0.25,1.191667,0.047852,-0.006547
0.25,1.200000,0.047842,-0.012641
0.25,1.208333,0.047757,-0.018010
0.25,1.216667,0.047827,-0.019211
0.25,1.225000,0.047887,-0.001693
0.25,1.233333,0.047851,-0.026537
0.25,1.241667,0.047755,-0.018453
0.25,1.250000,0.047955,0.004724
0.25,1.258333,0.047896,-0.013561
0.25,1.266667,0.047823,-0.008092
0.25,1.275000,0.047881,-0.006673
0.25,1.283333,0.047891,-0.019674
0.25,1.291667,0.047805,-0.007727
0.25,1.300000,0.047881,-0.010952
0.25,1.308333,0.047817,-0.000225
0.25,1.316667,0.047850,-0.019130
0.25,1.325000,0.047801,-0.004078
0.25,1.333333,0.047902,0.014481
0.25,1.341667,0.047889,-0.000862
0.25,1.350000,0.047809,-0.016156
0.25,1.358333,0.047855,-0.012993
0.25,1.366667,0.047911,0.014138
0.25,1.375000,0.047940,0.012720
0.25,1.383333,0.047882,-0.011789
0.25,1.391667,0.047757,-0.019727
0.25,1.400000,0.047814,-0.003266
0.25,1.408333,0.047928,0.015374
0.25,1.416667,0.047925,0.009519
0.25,1.425000,0.047838,-0.011690
0.25,1.433333,0.047857,-0.015762
0.25,1.441667,0.047814,-0.019796
0.25,1.450000,0.047789,-0.022763
0.25,1.458333,0.047898,-0.011839
0.25,1.466667,0.047838,-0.014814
0.25,1.475000,0.047903,0.000324
0.25,1.483333,0.047880,0.006727
0.25,1.491667,0.047940,-0.008484
0.25,1.500000,0.047828,-0.004181
0.25,1.508333,0.047880,-0.010455
0.25,1.516667,0.047783,-0.019543
0.25,1.525000,0.047905,-0.010516
0.25,1.533333,0.047863,-0.008561
0.25,1.541667,0.047796,-0.017089
0.25,1.550000,0.047853,-0.011995
0.25,1.558333,0.047836,-0.006070
0.25,1.566667,0.047889,-0.007826
0.25,1.575000,0.047860,-0.020380
0.25,1.583333,0.047884,-0.006282
0.25,1.591667,0.047851,-0.008119
0.25,1.600000,0.047856,-0.021077
0.25,1.608333,0.047818,-0.014985
0.25,1.616667,0.047906,-0.021974
0.25,1.625000,0.047851,-0.007093
0.25,1.633333,0.047889,-0.013310
0.25,1.641667,0.047914,0.006454
0.25,1.650000,0.047870,-0.006555
0.25,1.658333,0.047875,-0.005665
0.25,1.666667,0.047829,-0.008554
0.25,1.675000,0.047862,-0.015418
0.25,1.683333,0.047860,-0.011134
0.25,1.691667,0.047836,-0.025560
0.25,1.700000,0.047818,-0.022169
0.25,1.708333,0.047858,-0.002277
0.25,1.716667,0.047837,-0.007745
0.25,1.725000,0.047866,0.003577
0.25,1.733333,0.047916,0.003860
0.25,1.741667,0.047870,-0.008419
0.25,1.750000,0.047889,-0.009858
0.25,1.758333,0.047862,-0.010729
0.25,1.766667,0.047805,-0.019614
0.25,1.775000,0.047840,-0.021293
0.25,1.783333,0.047819,-0.016935
0.25,1.791667,0.047814,-0.019452
0.25,1.800000,0.047836,-0.011619
0.25,1.808333,0.047873,-0.018953
0.25,1.816667,0.047895,-0.009487
0.25,1.825000,0.047856,-0.010789
0.25,1.833333,0.047814,-0.022217
0.25,1.841667,0.047966,0.000766
0.25,1.850000,0.047807,-0.010103
0.25,1.858333,0.047938,-0.010897
0.25,1.866667,0.047862,-0.003074
0.25,1.875000,0.047949,0.012920
0.25,1.883333,0.047878,-0.004795
0.25,1.891667,0.047961,0.006899
0.25,1.900000,0.047845,-0.020663
0.25,1.908333,0.047791,-0.020663
0.25,1.916667,0.047835,-0.008955
0.25,1.925000,0.047853,-0.003072
0.25,1.933333,0.047889,-0.001549
0.25,1.941667,0.047825,-0.024579
0.25,1.950000,0.047877,-0.009365
0.25,1.958333,0.047863,-0.014357
0.25,1.966667,0.047850,-0.010123
0.25,1.975000,0.047876,-0.008996
0.25,1.983333,0.047883,-0.026107
0.25,1.991667,0.047754,-0.022235
0.25,2.000000,0.047843,-0.010970
0.25,2.008333,0.047871,-0.011339
0.25,2.016667,0.047842,-0.009302
0.25,2.025000,0.047851,-0.015749
0.25,2.033333,0.047828,-0.016748
0.25,2.041667,0.047867,-0.016362
0.25,2.050000,0.047884,-0.001880
0.25,2.058333,0.047817,-0.017857
0.25,2.066667,0.047884,-0.009652
0.25,2.075000,0.047924,-0.005297
0.25,2.083333,0.047853,-0.022282
0.25,2.091667,0.047867,-0.008395
0.25,2.100000,0.047859,-0.011350
0.25,2.108333,0.047921,-0.000853
0.25,2.116667,0.047801,-0.019166
0.25,2.125000,0.047858,-0.018885
0.25,2.133333,0.047850,-0.014944
0.25,2.141667,0.048177,0.027825
0.25,2.150000,0.048071,0.002977
0.25,2.158333,0.047844,-0.011804
0.25,2.166667,0.047849,-0.016689
0.25,2.175000,0.047798,-0.022306
0.25,2.183333,0.047899,0.009071
0.25,2.191667,0.047912,-0.014887
0.25,2.200000,0.047881,0.012113
0.25,2.208333,0.047938,-0.010593
0.25,2.216667,0.047910,-0.009817
0.25,2.225000,0.047857,-0.011450
0.25,2.233333,0.047892,-0.000178
0.25,2.241667,0.047916,-0.017851
0.25,2.250000,0.047838,0.000353
0.25,2.258333,0.047822,-0.010632
0.25,2.266667,0.047837,-0.024023
0.25,2.275000,0.047859,0.002196
0.25,2.283333,0.047917,0.002283
0.25,2.291667,0.048051,0.008675
0.25,2.300000,0.048079,0.010434
0.25,2.308333,0.047859,-0.014464
0.25,2.316667,0.047979,0.001867
0.25,2.325000,0.047744,-0.026514
0.25,2.333333,0.047832,-0.032217
0.25,2.341667,0.047857,-0.013680
0.25,2.350000,0.047868,0.003584
0.25,2.358333,0.047963,-0.013760
0.25,2.366667,0.047905,-0.002949
0.25,2.375000,0.047902,-0.015884
0.25,2.383333,0.047850,-0.003313
0.25,2.391667,0.047902,0.014216
0.25,2.400000,0.047755,-0.037595
0.25,2.408333,0.047862,-0.020657
0.25,2.416667,0.047838,-0.003298
0.25,2.425000,0.047811,-0.020823
0.25,2.433333,0.047879,0.008440
0.25,2.441667,0.047832,-0.005787
0.25,2.450000,0.047935,-0.009305
0.25,2.458333,0.047796,-0.019485
0.25,2.466667,0.047784,-0.014528
0.25,2.475000,0.047892,-0.009568
0.25,2.483333,0.047924,-0.000588
0.25,2.491667,0.047833,-0.015942
0.25,2.500000,0.047815,-0.006997
0.25,2.508333,0.047829,-0.016113
0.25,2.516667,0.047852,-0.008907
0.25,2.525000,0.047953,0.000422
0.25,2.533333,0.047905,-0.007783
0.25,2.541667,0.047842,-0.015408
0.25,2.550000,0.047810,-0.028360
0.25,2.558333,0.047869,-0.016030
0.25,2.566667,0.047968,-0.004727
0.25,2.575000,0.047898,-0.003726
0.25,2.583333,0.047856,-0.013900
0.25,2.591667,0.047844,-0.004644
0.25,2.600000,0.047929,-0.000737
0.25,2.608333,0.047898,-0.008729
0.25,2.616667,0.047909,-0.014961
0.25,2.625000,0.047781,-0.024485
0.25,2.633333,0.047933,-0.013688
0.25,2.641667,0.047956,-0.008813
0.25,2.650000,0.047857,-0.008124
0.25,2.658333,0.047950,-0.001385
0.25,2.666667,0.047865,-0.015719
0.25,2.675000,0.047897,-0.007471
0.25,2.683333,0.047907,-0.007917
0.25,2.691667,0.048090,0.018591
0.25,2.700000,0.047878,-0.006332
0.25,2.708333,0.047886,-0.007653
0.25,2.716667,0.047892,-0.006100
0.25,2.725000,0.047901,-0.009765
0.25,2.733333,0.047920,0.011867
0.25,2.741667,0.047855,-0.012688
0.25,2.750000,0.047902,0.009375
0.25,2.758333,0.047892,-0.005022
0.25,2.766667,0.047896,-0.008823
0.25,2.775000,0.047817,-0.013025
0.25,2.783333,0.047727,-0.013052
0.25,2.791667,0.047939,-0.000333
0.25,2.800000,0.048083,0.020318
0.25,2.808333,0.047819,-0.011602
0.25,2.816667,0.047870,-0.011859
0.25,2.825000,0.047828,-0.009979
0.25,2.833333,0.047907,-0.006645
0.25,2.841667,0.047900,-0.008015
0.25,2.850000,0.047835,-0.015496
0.25,2.858333,0.047877,-0.011407
0.25,2.866667,0.047815,-0.012235
0.25,2.875000,0.047832,-0.006775
0.25,2.883333,0.047862,0.012058
0.25,2.891667,0.047892,-0.008445
0.25,2.900000,0.047876,-0.002166
0.25,2.908333,0.047909,-0.002736
0.25,2.916667,0.047903,-0.008280
0.25,2.925000,0.047837,-0.017696
0.25,2.933333,0.047899,-0.014582
0.25,2.941667,0.047870,-0.007996
0.25,2.950000,0.047898,0.000276
0.25,2.958333,0.047912,-0.005020
0.25,2.966667,0.047810,-0.019001
0.25,2.975000,0.047795,-0.023363
0.25,2.983333,0.047891,0.005747
0.25,2.991667,0.047907,-0.004473
0.25,3.000000,0.047903,-0.010005
0.25,3.008333,0.047828,-0.017869
0.25,3.016667,0.047866,-0.009196
0.25,3.025000,0.047831,-0.023680
0.25,3.033333,0.047859,-0.002037
0.25,3.041667,0.047815,-0.018746
0.25,3.050000,0.047777,-0.019010
0.25,3.058333,0.047862,-0.009725
0.25,3.066667,0.047822,-0.009905
0.25,3.075000,0.047937,0.012782
0.25,3.083333,0.047859,-0.013430
0.25,3.091667,0.047820,-0.027915
0.25,3.100000,0.047792,-0.024700
0.25,3.108333,0.047890,-0.009232
0.25,3.116667,0.047870,-0.007154
0.25,3.125000,0.047854,-0.013533
0.25,3.133333,0.047863,-0.013643
0.25,3.141667,0.047905,-0.018702
0.25,3.150000,0.047839,0.005501
0.25,3.158333,0.047897,-0.002281
0.25,3.166667,0.047842,-0.016062
0.25,3.175000,0.047794,-0.013405
0.25,3.183333,0.047888,-0.030491
0.25,3.191667,0.047816,-0.011793
0.25,3.200000,0.047878,-0.005096
0.25,3.208333,0.047838,-0.019871
0.25,3.216667,0.047851,-0.017466
0.25,3.225000,0.047900,-0.017214
0.25,3.233333,0.047938,0.002190
0.25,3.241667,0.047946,0.002696
0.25,3.250000,0.047833,-0.011958
0.25,3.258333,0.047797,-0.016455
0.25,3.266667,0.047904,0.001233
0.25,3.275000,0.047815,-0.016875
0.25,3.283333,0.047898,-0.007201
0.25,3.291667,0.047803,-0.033705
0.25,3.300000,0.047834,-0.027678
0.25,3.308333,0.047856,-0.000354
0.25,3.316667,0.047881,-0.014001
0.25,3.325000,0.047868,-0.012937
0.25,3.333333,0.047720,-0.034202
0.25,3.341667,0.047840,-0.025119
0.25,3.350000,0.047853,-0.020870
0.25,3.358333,0.047886,-0.016633
0.25,3.366667,0.047738,-0.030687
0.25,3.375000,0.047884,-0.010924
0.25,3.383333,0.047884,-0.013950
0.25,3.391667,0.047880,-0.002245
0.25,3.400000,0.047994,0.008043
0.25,3.408333,0.047829,-0.017022
0.25,3.416667,0.047794,-0.017373
0.25,3.425000,0.047816,-0.017233
0.25,3.433333,0.047867,-0.006540
0.25,3.441667,0.047874,0.003463
0.25,3.450000,0.047942,0.003090
0.25,3.458333,0.047880,-0.002169
0.25,3.466667,0.047978,0.006541
0.25,3.475000,0.047890,-0.008466
0.25,3.483333,0.047901,-0.015312
0.25,3.491667,0.047940,-0.001258
0.25,3.500000,0.047820,-0.013154
0.25,3.508333,0.047851,0.000075
0.25,3.516667,0.047892,-0.002215
0.25,3.525000,0.048028,0.011218
0.25,3.533333,0.047881,-0.011179
0.25,3.541667,0.047880,0.008802
0.25,3.550000,0.047901,-0.003350
0.25,3.558333,0.047951,0.000057
0.25,3.566667,0.047847,-0.007206
0.25,3.575000,0.047848,-0.013261
0.25,3.583333,0.047834,-0.016619
0.25,3.591667,0.047945,0.008523
0.25,3.600000,0.047868,-0.005188
0.25,3.608333,0.047871,-0.004634
0.25,3.616667,0.047843,-0.014642
0.25,3.625000,0.047858,-0.012444
0.25,3.633333,0.047974,0.007345
0.25,3.641667,0.047798,-0.034647
0.25,3.650000,0.047825,-0.008687
0.25,3.658333,0.047921,-0.002120
0.25,3.666667,0.047920,0.002357
0.25,3.675000,0.047883,-0.002375
0.25,3.683333,0.047896,-0.003134
0.25,3.691667,0.047892,-0.007633
0.25,3.700000,0.047827,-0.013167
0.25,3.708333,0.047885,-0.004667
0.25,3.716667,0.047852,-0.021132
0.25,3.725000,0.047865,-0.009783
0.25,3.733333,0.047809,-0.029699
0.25,3.741667,0.047796,-0.041204
0.25,3.750000,0.047835,-0.013860
0.25,3.758333,0.047911,0.006120
0.25,3.766667,0.047906,-0.011022
0.25,3.775000,0.047905,-0.006857
0.25,3.783333,0.047873,-0.005926
0.25,3.791667,0.047955,0.013002
0.25,3.800000,0.047836,-0.016088
0.25,3.808333,0.047817,-0.021088
0.25,3.816667,0.047843,-0.015608
0.25,3.825000,0.047796,-0.013817
0.25,3.833333,0.047880,-0.009977
0.25,3.841667,0.047863,-0.003982
0.25,3.850000,0.047921,0.000751
0.25,3.858333,0.047928,0.002315
0.25,3.866667,0.047914,-0.000026
0.25,3.875000,0.047922,-0.016458
0.25,3.883333,0.047781,-0.031198
0.25,3.891667,0.047919,-0.016551
0.25,3.900000,0.047870,-0.002238
0.25,3.908333,0.047858,-0.025024
0.25,3.916667,0.047883,-0.015879
0.25,3.925000,0.047932,0.000250
0.25,3.933333,0.047897,0.005533
0.25,3.941667,0.047837,-0.003233
0.25,3.950000,0.047866,-0.010983
0.25,3.958333,0.047819,-0.022353
0.25,3.966667,0.047862,0.001677
0.25,3.975000,0.047877,0.000320
0.25,3.983333,0.047850,-0.007262
0.25,3.991667,0.047874,-0.003932
0.25,4.000000,0.047874,0.002626
0.25,4.008333,0.047895,-0.011990
0.25,4.016667,0.047850,-0.008799
0.25,4.025000,0.047914,-0.014407
0.25,4.033333,0.047971,-0.009810
0.25,4.041667,0.047792,-0.020002
0.25,4.050000,0.047763,-0.026386
0.25,4.058333,0.047887,-0.013183
0.25,4.066667,0.047866,-0.009799
0.25,4.075000,0.047911,0.000390
0.25,4.083333,0.047914,-0.004701
0.25,4.091667,0.047884,-0.015958
0.25,4.100000,0.047812,-0.012695
0.25,4.108333,0.047890,-0.015230
0.25,4.116667,0.047883,-0.008939
0.25,4.125000,0.047800,-0.028430
0.25,4.133333,0.047785,-0.022943
0.25,4.141667,0.047879,-0.001778
0.25,4.150000,0.047890,-0.022540
0.25,4.158333,0.047777,-0.022632
0.25,4.166667,0.047870,-0.012131
0.25,4.175000,0.047851,-0.002016
0.25,4.183333,0.047884,-0.010397
0.25,4.191667,0.047858,-0.021094
0.25,4.200000,0.047801,-0.023145
0.25,4.208333,0.047786,-0.024297
0.25,4.216667,0.047837,-0.008612
0.25,4.225000,0.047852,-0.016800
0.25,4.233333,0.047862,-0.019682
0.25,4.241667,0.047903,-0.002661
0.25,4.250000,0.047871,0.000763
0.25,4.258333,0.047844,-0.006935
0.25,4.266667,0.047906,-0.003407
0.25,4.275000,0.047866,-0.010302
0.25,4.283333,0.047843,-0.013600
0.25,4.291667,0.047873,-0.013898
0.25,4.300000,0.047909,-0.007524
0.25,4.308333,0.047760,-0.025445
0.25,4.316667,0.047901,-0.008250
0.25,4.325000,0.047848,-0.013334
0.25,4.333333,0.047851,-0.007818
0.25,4.341667,0.047853,0.002856
0.25,4.350000,0.047935,-0.011257
0.25,4.358333,0.047874,-0.016102
0.25,4.366667,0.047830,-0.009378
0.25,4.375000,0.047928,-0.000373
0.25,4.383333,0.047840,-0.013678
0.25,4.391667,0.047799,-0.000361
0.25,4.400000,0.047904,0.011184
0.25,4.408333,0.047922,-0.000115
0.25,4.416667,0.047848,-0.004304
0.25,4.425000,0.048069,0.029687
0.25,4.433333,0.047819,-0.018708
0.25,4.441667,0.047826,-0.023967
0.25,4.450000,0.047786,-0.023187
0.25,4.458333,0.047837,-0.008726
0.25,4.466667,0.047813,-0.008451
0.25,4.475000,0.047872,0.003150
0.25,4.483333,0.047918,-0.012128
0.25,4.491667,0.047847,0.000301
0.25,4.500000,0.047930,-0.015139
0.25,4.508333,0.047867,-0.013765
0.25,4.516667,0.047835,-0.011421
0.25,4.525000,0.047835,-0.011811
0.25,4.533333,0.047784,-0.021279
0.25,4.541667,0.047854,-0.013963
0.25,4.550000,0.047868,-0.002062
0.25,4.558333,0.047854,-0.007956
0.25,4.566667,0.047889,-0.004963
0.25,4.575000,0.047863,-0.005599
0.25,4.583333,0.047863,-0.001598
0.25,4.591667,0.047912,-0.025804
0.25,4.600000,0.047878,-0.009539
0.25,4.608333,0.047823,-0.020077
0.25,4.616667,0.047880,-0.004256
0.25,4.625000,0.047864,-0.017842
0.25,4.633333,0.047897,0.002635
0.25,4.641667,0.047915,-0.008360
0.25,4.650000,0.047746,-0.011400
0.25,4.658333,0.047954,-0.003208
0.25,4.666667,0.047903,0.003411
0.25,4.675000,0.048061,0.008382
0.25,4.683333,0.047869,-0.007339
0.25,4.691667,0.047785,-0.026066
0.25,4.700000,0.047841,-0.017793
0.25,4.708333,0.047848,-0.011714
0.25,4.716667,0.047867,-0.020661
0.25,4.725000,0.047899,0.007481
0.25,4.733333,0.047923,-0.002766
0.25,4.741667,0.047874,-0.013995
0.25,4.750000,0.047911,-0.020197
0.25,4.758333,0.047808,-0.015391
0.25,4.766667,0.047847,-0.012142
0.25,4.775000,0.047842,-0.016541
0.25,4.783333,0.047832,-0.016564
0.25,4.791667,0.047836,-0.031510
0.25,4.800000,0.047919,0.001102
0.25,4.808333,0.047892,-0.011185
0.25,4.816667,0.047876,-0.002035
0.25,4.825000,0.047980,0.014748
0.25,4.833333,0.047951,-0.004463
0.25,4.841667,0.047880,-0.016396
0.25,4.850000,0.047869,-0.009989
0.25,4.858333,0.047828,-0.023849
0.25,4.866667,0.047846,-0.004916
0.25,4.875000,0.047858,0.006176
0.25,4.883333,0.047861,-0.005497
0.25,4.891667,0.047856,-0.008556
0.25,4.900000,0.047889,-0.000265
0.25,4.908333,0.047918,0.001083
0.25,4.916667,0.047859,-0.007464
0.25,4.925000,0.047928,-0.002145
0.25,4.933333,0.047869,-0.022248
0.25,4.941667,0.047784,-0.027053
0.25,4.950000,0.047868,-0.012580
0.25,4.958333,0.047836,-0.019178
0.25,4.966667,0.047900,-0.017693
0.25,4.975000,0.047849,-0.014615
0.25,4.983333,0.047925,-0.001055
0.25,4.991667,0.047880,-0.003428
0.5,0.000000,0.048140,0.013441
0.5,0.008333,0.047696,-0.040752
0.5,0.016667,0.047577,-0.048579
0.5,0.025000,0.047352,-0.003164
0.5,0.033333,0.048017,0.041111
0.5,0.041667,0.047765,-0.034025
0.5,0.050000,0.047285,-0.039136
0.5,0.058333,0.047563,-0.037015
0.5,0.066667,0.047644,-0.007733
0.5,0.075000,0.047917,0.022489
0.5,0.083333,0.047505,-0.050969
0.5,0.091667,0.047469,-0.040735
0.5,0.100000,0.047416,-0.056974
0.5,0.108333,0.047580,0.044691
0.5,0.116667,0.047812,0.034310
0.5,0.125000,0.047670,-0.030729
0.5,0.133333,0.047474,-0.033056
0.5,0.141667,0.047538,0.041868
0.5,0.150000,0.048158,0.076841
0.5,0.158333,0.048436,0.045386
0.5,0.166667,0.048334,-0.036296
0.5,0.175000,0.047730,-0.092538
0.5,0.183333,0.047548,-0.030180
0.5,0.191667,0.047784,-0.021667
0.5,0.200000,0.047552,-0.046210
0.5,0.208333,0.047330,-0.055061
0.5,0.216667,0.047516,-0.035825
0.5,0.225000,0.047765,0.027478
0.5,0.233333,0.047894,0.007962
0.5,0.241667,0.047409,-0.069913
0.5,0.250000,0.047464,-0.067859
0.5,0.258333,0.047472,-0.004606
0.5,0.266667,0.047922,0.055208
0.5,0.275000,0.048221,0.076187
0.5,0.283333,0.048764,0.116368
0.5,0.291667,0.049251,0.052677
0.5,0.300000,0.049359,-0.006088
0.5,0.308333,0.048935,-0.060182
0.5,0.316667,0.048192,-0.109755
0.5,0.325000,0.047470,-0.065563
0.5,0.333333,0.047530,0.013208
0.5,0.341667,0.047541,-0.009434
0.5,0.350000,0.047888,-0.009881
0.5,0.358333,0.048246,0.065102
0.5,0.366667,0.048853,0.033850
0.5,0.375000,0.048713,-0.032939
0.5,0.383333,0.048189,-0.051603
0.5,0.391667,0.047623,-0.045378
0.5,0.400000,0.047400,-0.058866
0.5,0.408333,0.047405,-0.035845
0.5,0.416667,0.047852,0.038262
0.5,0.425000,0.047819,0.028704
0.5,0.433333,0.047699,-0.018835
0.5,0.441667,0.047401,-0.052705
0.5,0.450000,0.047591,-0.037938
0.5,0.458333,0.047631,0.046961
0.5,0.466667,0.047953,0.020109
0.5,0.475000,0.047854,-0.048076
0.5,0.483333,0.047354,-0.069699
0.5,0.491667,0.047477,-0.047775
0.5,0.500000,0.047928,0.017974
0.5,0.508333,0.047737,0.003267
0.5,0.516667,0.047596,-0.047067
0.5,0.525000,0.047493,-0.048374
0.5,0.533333,0.047529,-0.005647
0.5,0.541667,0.047532,-0.016357
0.5,0.550000,0.047739,-0.019242
0.5,0.558333,0.047617,-0.028483
0.5,0.566667,0.047426,-0.029765
0.5,0.575000,0.047567,0.006220
0.5,0.583333,0.047908,0.012097
0.5,0.591667,0.047807,-0.017624
0.5,0.600000,0.047478,-0.039717
0.5,0.608333,0.047509,-0.018828
0.5,0.616667,0.047826,0.050757
0.5,0.625000,0.047829,0.003935
0.5,0.633333,0.047632,-0.030588
0.5,0.641667,0.047427,-0.042900
0.5,0.650000,0.047694,0.009551
0.5,0.658333,0.047690,-0.014429
0.5,0.666667,0.047554,-0.011925
0.5,0.675000,0.047575,-0.042647
0.5,0.683333,0.047294,-0.070941
0.5,0.691667,0.047512,-0.037083
0.5,0.700000,0.047798,0.015766
0.5,0.708333,0.047621,-0.039279
0.5,0.716667,0.047450,-0.041692
0.5,0.725000,0.047518,-0.036451
0.5,0.733333,0.047534,0.006241
0.5,0.741667,0.047769,0.038063
0.5,0.750000,0.047734,-0.011631
0.5,0.758333,0.047446,-0.034118
0.5,0.766667,0.047633,0.014019
0.5,0.775000,0.048197,0.083181
0.5,0.783333,0.048213,0.002457
0.5,0.791667,0.047683,-0.061707
0.5,0.800000,0.047388,-0.034513
0.5,0.808333,0.047513,-0.025069
0.5,0.816667,0.047662,0.008727
0.5,0.825000,0.047621,-0.038467
0.5,0.833333,0.047497,-0.018752
0.5,0.841667,0.047503,-0.061217
0.5,0.850000,0.047401,0.008165
0.5,0.858333,0.047880,-0.025914
0.5,0.866667,0.047576,-0.026196
0.5,0.875000,0.047591,-0.063139
